SYMBOL,NAME OF COMPANY
Wimco Ltd.,WIMCO
SBI Magnum Multiplier Scheme 1990,SBIMG90-B
Mastershares - 86,MSTRSDM
State Bank of Bikaner & Jaipur,SBBJ
Sunrise Industrial Traders Ltd.,SUNRINV
Gold Rock Investments Ltd.,ZGOLDINV
"Mipco Investments Ltd.,",ZMIPCOIN
"Oceanic Investments Ltd.,",ZOCEAINV
Peoples Investments Ltd.,PEOPLIN
Bhavi Investments Ltd.,ZBHAVIIN
Dalal Street Investments Ltd.,DSINVEST
Centrum Capital Limited,CENTRUM
Kartik Investments Trust Ltd.,KARTKIN
Rose Investments Ltd.,ROSEI
Suryodaya Investment & Trading Co.,ZSURYODI
Oscar Investments Ltd.,OSCAR
Maestros Mediline Systems Ltd.,MAESTROM
Bhagyodaya Infrastructure Development Ltd,BIDL
TCI Finance Limited,TCIFINANCE
"Sagar Investments Ltd.,",SAGARIN
Kratos Energy & Infrastructure Limited,KRATOSENER
Shree Rani Sati Investments & Fin.L,SHRERAN
ANTARIKSH INDUSTRIES LIMITED,ANTARIKSH
Industrial Investment Trust Ltd.,IITL
Industrial & Prudential Inv. Co. Lt,INDPRUD
Tata Investment Corporation Ltd.,TATAINVEST
Jayabharat Credit Ltd.,JAYBHCR
PRISMX GLOBAL VENTURES LIMITED,PRISMX
Killick Nixon Ltd,KILLICK
"Kirti Investments Ltd.,",KIRTIIN
Hindustan Transmission Products Ltd,HNDTRAN
Motor & General Finance (M.G.F.) Lt,MOTOGENFIN
Rapid Investments Ltd.,RAPIDIN
Oriental Industrial Inv.Corpn. Ltd.,ORINTIN
Gujarat Organics Ltd,GUJORGA
Walchand Peoplefirst Limited,WALCHPF
Urvi Chemicals & Allied Industries,ZURVICHM
Shaw Wallace & Co. Ltd.,SHAWWALLACE
Swastik Safe Deposit & Invest. Ltd.,ZSWASTSA
W.H. Brady & Co. Ltd.,WHBRADY
Akash Agencies Ltd.,AKASAGC
Alert Petrogas Ltd.,ALERPTR
TechNVision Ventures Limited,TECHNVISN
Shaily Engineering Plastics Ltd.,SHAILY
Bombay Burmah Trading Corpn. Ltd.,BBTC
Bombay Cycle & Motor Agency Ltd.,BOMBCYC
Greaves Cotton Ltd.,GREAVESCOT
Mafatlal Dyes & Chemicals Ltd.,MAFATDY
Boston Education and Software Technologies ltd,BOSTON
Mack Trading Co. Ltd.,MACK
Malabar Trading Co. Ltd.,MALTC
Muller & Phipps (India) Ltd.,MULLER
SPRINGFORM TECHNOLOGY LIMITED,SFTL
Parekh Distributors Ltd.,PARDI
"United Motors India Ltd.,",UNITMOT
Shree Dhoot Trading & Agencies Ltd.,SHDHOOT
Amalgamated Electricity Co. Ltd.,AMALGAM
Anand Projects Ltd,ANANDPROJ
India Nivesh Limited,INDIANVSH
Torrent Power SEC Limited,TPSEC
Thana Electric Supply Co. Ltd.,THAES
Bharat Line Limited,BHARLIN
Central Provinces Railways Co. Ltd.,CENTPROV
Coastal Corporation Limited,COASTCORP
Chowgule Steamships Ltd.,CHOWGULSTM
Global Offshore Services Ltd,GLOBOFFS
Dhenu Buildcon Infra Limited,DHENUBUILD
ASI INDUSTRIES LIMITED,ASIIL
"Mewar Marbles Ltd.,",MEWARMR
Panchmahal Cement  Ltd.,PANCHCE
Dhar Cement Ltd.,DHARCEM
"Janpriya Cement Ltd.,",JANPRIY
Sagar Cements Ltd,SAGCEM
Hemadri Cements Limited,HEMACEM
Deccan Cements Ltd.,DECCANCE
Kalyanpur Cement Ltd.,KLYNCEM
Mangalam Cement Ltd.,MANGLMCEM
"Narmada Cement Co. Ltd.,",NARMC
OCL India Ltd,OCL
NCL Industries Limited,NCLIND
Saurashtra Cement Limited,SAURASHCEM
Shree Digvijay Cement Co. Ltd.,SHREDIGCEM
Someshwara Cements & Chemicals Ltd.,ZSOMESCE
Bombay Potteries & Tiles Ltd.,BOMBPOT
BOROSIL RENEWABLES LIMITED,BORORENEW
Excel Glasses Ltd.,XCLGLASS
IAG Company Ltd.,IAG
LERTHAI FINANCE LIMITED,LERTHAI
Neycer India Ltd.,NEYCERI
Orissa Industries Ltd.,ORSIND
Raasi Refractories Limited.,RASSIREF
"Shree Vallabh Glass Works Ltd.,",SHVALGL
Triveni Glass Ltd.,TRIVENIGQ
Nilachal Refractories Ltd.,NILACHAL
Lakshmi Porceleans Limited,LAXMPOPDM
ANDHRA PAPER LIMITED,ANDHRAPAP
Jolly Boards Ltd.,JOLLNEW
Aurangabad Paper Mills Ltd.,AURANPAP
Balkrishna Industries Ltd.,BALKRISIND
"Coastal Papers Ltd.,",COAPADM
Ellora Paper Mills Ltd.,ELLOPAP
Jayant Paper Mills Ltd.,JYNTPPR-B
Mysore Paper Mills Limited,MYSPAPE
Nath Pulp & Paper Mills Ltd.,NATHPULP
Orient Paper & Industries Ltd.,ORIENTPPR
Citadel Realty And Developers Limited,CITADEL
Rollatainters Ltd.,ROLLT
Seshasayee Paper & Boards Ltd.,SESHAPAPER
Shree Vindhya Paper Mills Ltd.,SHRVINDPPR
Sirpur Paper Mills Ltd.,SIRPAPER
Solid Containers Ltd.,SOLIDCO
Speciality Papers Ltd.,SPECIAPP
Dhampur Sugar (Kashipur) Ltd.,DHAMSUGR
"Vidarbha Paper Mills Ltd.,",VIDHAPA
Shiva Paper Mills Ltd.,SHIVAPPR
Shree Bhawani Paper Mills Ltd.,SHBHAWPA
Pamvi Tissues Ltd.,PAMWPAP
NATH INDUSTRIES LIMITED,NATHIND
VAPI ENTERPRISE LIMITED,VAPIENTER
Kitply Industries Ltd,KITPLY
Arunoday Mills Ltd.,ARUNODAY
"Banswara Textile Mills Ltd.,",BANSTEX
"Belwal Spinning Mills Ltd.,",BELWSPG
Sintex Industries Ltd,SINTEX
Blue Blends (India) Ltd,BLUBLND-B
"Cuddapah spinning Mills Ltd.,",ZCUDDSPG
"Dawn Mills Co. Ltd.,",DAWNMILL
DCM Ltd.,DCM
"Derby Textiles Ltd.,",DRBYTEX-B
Gaekwar Mills Ltd.,ZGAEKWAR
Gandhidham Spg. & Mfg. Co. Limited,GNDHISP
Forbes & Company Ltd,FORBESCO
H.P. Cotton Textile Mills Ltd.,HPCOTTON
